Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity,percentage Debt to Equity,ROACalced,ROECalced,Debt to EquityCalced
Allianz SE,2018-12-31,11358222175,1091045445,25112465464,47584136480,22471671016,229.287.642,4.855.203.888,1.117.516.603,434.46%,0.07961,2.38121,0.21622
BMW AG,2018-12-31,6557505339,618883605,33315961378,60538144207,27222182829,1.022.303.562,2.273.453.267,1.223.853.414,0.00%,0.33667,0.50147,0.14331
BASF SE,2018-12-31,10270182691,708863277,42708053991,57050114588,14342060597,124.252.735,4.942.548.334,2.977.818.543,0.00%,0.04906,0.90128,0.36370
Deutsche Telekom AG,2018-12-31,15273880507,1698666925,35514608139,56589637247,21075029108,3.001.727.892,8.060.092.903,1.685.151.084,478.30%,0.41229,8.67572,1.11527
Daimler AG,2018-12-31,14737735881,1726421482,41539802392,60496305967,18956503575,2.853.763.473,9.107.278.014,2.191.321.951,415.61%,0.37369,3.27573,0.68054
SAP SE,2018-12-31,10184334320,1365996842,44932510908,90595603440,45663092533,1.507.795.953,299.146.809,98.400.061,304.01%,0.18933,0.20367,0.02450
Bayer AG,2018-12-31,18541451915,2242441772,28896911499,58238408654,29341497155,3.850.451.659,7.642.560.842,984.847.888,776.01%,0.85241,1.36259,0.11605
Deutsche Bank AG,2018-12-31,8808021584,1274941171,36770248755,55390246152,18619997397,2.301.743.104,6.847.160.844,197.477.196,346.73%,0.30965,4.25692,0.04128
Porsche AG,2018-12-31,7955302121,939711762,35954156213,65117507958,29163351745,1.443.101.543,3.222.235.121,1.232.854.047,0.00%,1.42107,1.37036,0.14425
Merck KGaA,2018-12-31,14241334382,1165009578,37401670447,71252783664,33851113217,1.635.037.283,3.441.569.472,1.104.887.458,311.49%,4.38538,0.60424,0.12440
Volkswagen AG,2019-12-31,15448794996,1760261975,43856467673,93429721556,49573253883,1.884.049.257,3.550.830.008,884.680.029,401.37%,3.82484,0.42771,0.12999
Siemens AG,2019-12-31,12841952642,1411970100,29126693633,55130546327,26003852694,2.561.139.322,5.429.849.634,1.120.091.472,484.77%,1.83819,0.63898,1.22442
Allianz SE,2019-12-31,15508664175,1417702229,18132341778,46620472331,28488130553,3.040.943.514,4.976.466.345,636.487.598,781.86%,0.32220,1.06702,0.13044
BMW AG,2019-12-31,8859340166,1144565565,40538252302,78168514026,37630261724,1.464.228.377,3.041.609.365,1.077.277.979,282.34%,0.64105,0.49904,0.38744
BASF SE,2019-12-31,17877114298,1224635136,31860731568,65500282723,33639551155,1.869.663.892,3.640.462.175,947.121.185,384.37%,0.28152,0.78758,0.78145
Deutsche Telekom AG,2019-12-31,15796654133,805016266,11494162751,47776069193,36281906442,1.684.978.022,2.218.781.604,31.680.151,0.00%,0.17218,0.28378,0.00456
Daimler AG,2019-12-31,10937481164,1145842379,19578678306,31178454239,11599775933,3.675.109.647,9.878.142.355,1.687.849.698,585.25%,3.35166,6.93899,0.19854
SAP SE,2019-12-31,8046709255,662165231,39424977655,89177961232,49752983577,742.521.158,1.330.905.572,79.241.434,0.00%,0.14238,0.14687,0.03272
Bayer AG,2019-12-31,17402979577,1387637302,31887265220,61548783018,29661517798,2.254.532.476,467.824.105,1.075.038.217,435.17%,0.42331,0.05667,2.81288
Deutsche Bank AG,2019-12-31,9814156310,576451353,25131659304,46301105258,21169445954,1.245.005.598,2.723.034.669,1.187.166.606,0.00%,22.24009,7.85428,0.71246
Porsche AG,2019-12-31,15806884536,845076736,34376508276,55201546863,20825038587,1.530.893.216,405.798.401,1.650.729.632,0.00%,0.17129,0.05073,0.22614
Merck KGaA,2019-12-31,17666094987,1547381835,47717175754,76466035769,28748860015,2.023.619.793,5.382.411.109,1.659.793.666,324.28%,0.32640,1.30914,0.20903
Volkswagen AG,2020-12-31,6074909806,875656603,42262965768,80569106208,38306140440,1.086.839.167,2.285.943.174,1.103.294.806,0.00%,0.12941,0.24227,0.37414
Siemens AG,2020-12-31,17731550761,1893885668,10137976567,39067986912,28930010345,4.847.666.382,6.546.439.648,350.431.142,1868.11%,0.72736,1.48892,0.08118
Allianz SE,2020-12-31,10098889889,1161225924,39497490703,77791788915,38294298213,1.492.735.853,3.032.372.908,1.031.419.625,294.00%,0.20276,0.81307,0.24570
BMW AG,2020-12-31,6940311223,962499322,29150494667,41331347093,12180852427,2.328.739.298,7.901.740.276,2.393.140.779,0.00%,0.31489,1.06730,1.69983
BASF SE,2020-12-31,11583572658,1407524593,37122614462,82673694404,45551079942,1.702.505.982,3.089.991.707,814.966.725,379.16%,0.33638,0.31148,0.08420
Deutsche Telekom AG,2020-12-31,19614896783,1231038198,45625478678,94598230353,48972751675,1.301.333.221,2.513.720.704,931.650.298,269.81%,0.39043,0.34869,0.14317
Daimler AG,2020-12-31,8582626126,482111535,40109942612,86478204177,46368261566,55.749.485,1.039.744.685,865.030.115,120.20%,0.00734,0.13952,2.87232
SAP SE,2020-12-31,9687560178,1027662516,40817136100,65594337613,24777201513,1.566.693.946,4.147.613.343,1.647.366.676,251.77%,0.22567,0.67613,0.44917
Bayer AG,2020-12-31,14954913916,1086100755,49223539015,87910824435,38687285420,1.235.457.365,2.807.384.243,1.272.344.091,220.65%,0.27003,0.73053,0.36967
Deutsche Bank AG,2020-12-31,16454038855,1761523797,29090502114,64555499757,35464997643,2.728.696.708,4.966.936.173,820.259.525,605.53%,0.39156,0.53046,0.31596
Porsche AG,2020-12-31,14994514428,1118453310,13089516203,26894911034,13805394830,4.158.605.723,8.101.566.983,948.145.009,854.46%,0.68645,1.42879,0.65375
Merck KGaA,2020-12-31,5897253747,625948791,38506883950,51548729961,13041846011,1.214.285.573,4.799.541.343,2.952.563.918,0.00%,0.42511,0.88650,0.52348
Volkswagen AG,2021-12-31,11544833810,1709962819,14660160673,40260511363,25600350690,4.247.245.654,6.679.450.762,572.654.682,1166.40%,1.72885,1.48171,0.08737
Siemens AG,2021-12-31,15389996263,923394182,21808491986,40095375980,18286883994,2.302.994.196,5.049.488.923,1.192.575.618,0.00%,0.23154,1.03268,0.20708
Allianz SE,2021-12-31,9380555380,1350100953,41223028779,68933524997,27710496218,195.855.493,4.872.164.475,1.487.632.284,327.51%,0.02279,2.96215,0.23518
BMW AG,2021-12-31,18321682480,1436804767,33230894855,73659285546,40428390691,1.950.609.154,355.394.994,821.969.272,432.37%,0.32012,0.08987,0.08470
BASF SE,2021-12-31,18793891125,2702710428,12423193661,54396450621,41973256961,4.968.541.876,6.439.124.871,295.978.787,2175.54%,0.91681,5.15652,0.03014
Deutsche Telekom AG,2021-12-31,18588737724,2116759905,15557689149,64787149652,49229460503,3.267.252.713,429.978.286,316.023.962,1360.59%,1.29277,0.04385,1.31875
Daimler AG,2021-12-31,19604996789,2406144332,39627936994,77954949919,38327012925,3.086.583.128,6.277.933.363,1.033.942.746,607.18%,0.52921,0.67251,0.10957
SAP SE,2021-12-31,12465229611,800983300,28257880783,51866957482,23609076699,1.544.303.617,3.392.692.186,1.196.907.492,0.00%,0.50854,0.49004,0.13179
Bayer AG,2021-12-31,13009192330,1451167596,31049801948,49482603845,18432801897,2.932.682.364,7.872.745.579,1.684.486.283,467.37%,0.42968,1.05582,0.34630
Deutsche Bank AG,2021-12-31,10414516344,1120888368,33962234582,80244374780,46282140198,1.396.843.544,2.421.859.412,733.808.645,330.04%,0.16549,0.28170,0.09065
Porsche AG,2021-12-31,14047287806,1489899027,14851641486,42561319258,27709677772,3.500.594.092,5.376.818.307,535.973.085,1003.19%,0.58913,0.65697,0.05498
Merck KGaA,2021-12-31,12917187369,1708731611,17319486583,43037893850,25718407267,3.970.295.613,664.400.246,673.427.651,986.59%,1.34297,0.16590,0.15737
Volkswagen AG,2022-12-31,11168902003,587168043,20072750684,67464272122,47391521437,870.339.255,1.238.972.765,423.551.515,0.00%,0.25644,0.12727,0.07670
Siemens AG,2022-12-31,16861000234,918419212,32873432607,81487723152,48614290545,1.127.064.515,1.889.195.957,676.209.243,0.00%,1.74688,0.96399,0.32307
Allianz SE,2022-12-31,16472180169,2043609431,34718393733,62464433746,27746040013,3.271.636.847,736.540.937,125.129.185,588.62%,0.51362,0.13606,0.09676
BMW AG,2022-12-31,7382434260,1093800017,35338248318,45898916976,10560668658,2.383.062.802,1.035.729.888,3.346.213.148,309.52%,3.79447,0.14180,1.56980
BASF SE,2022-12-31,13018762765,1704211990,11167034881,30031637051,18864602170,567.472.225,9.033.914.282,591.957.083,1526.11%,0.12007,0.98799,0.06175
Deutsche Telekom AG,2022-12-31,9420241101,990420474,12931047199,34081834188,21150786988,2.906.006.963,4.682.664.881,611.374.282,0.00%,41.73488,0.70419,0.16325
Daimler AG,2022-12-31,9363037363,704852259,34778269496,54701473950,19923204453,1.288.543.449,3.537.845.836,1.745.616.253,0.00%,0.23700,0.41817,0.28316
SAP SE,2022-12-31,16805465254,1837934274,10102113588,37939001132,27836887544,4.844.445.609,6.602.513.558,362.903.847,1819.36%,1.08705,1.28554,0.04005
Bayer AG,2022-12-31,19647577142,1826544478,10046371516,37513857859,27467486343,4.868.985.975,6.649.842.126,365.755.038,1818.11%,0.49372,0.78955,0.04834
Deutsche Bank AG,2022-12-31,7252204354,949551701,44858188981,86269206025,41411017045,110.068.441,229.299.295,1.083.242.871,0.00%,0.16072,0.07651,0.44592
Porsche AG,2022-12-31,5536870879,298030924,19445445005,30265348449,10819903444,984.726.558,275.446.935,1.797.192.101,0.00%,0.13543,0.06153,0.93545
Merck KGaA,2022-12-31,7610452133,536310750,48688712492,88688270941,39999558449,604.714.405,1.340.791.676,1.217.231.249,0.00%,0.08455,0.16926,0.52627
Volkswagen AG,2023-12-31,16782030250,1481049554,32384571623,78417189252,46032617629,1.888.679.725,3.217.391.559,70.351.358,457.33%,0.27776,0.82159,0.01992
Siemens AG,2023-12-31,8282175431,459390814,28551545477,64407150986,35855605509,713.260.572,1.281.224.531,796.292.381,0.00%,0.27363,0.57052,0.27225
Allianz SE,2023-12-31,13941085692,1722322782,32850325731,66248470463,33398144732,2.599.792.523,5.156.941.487,983.597.322,524.29%,0.32794,0.54764,0.16457
BMW AG,2023-12-31,8469619625,602960049,32716601950,78863289364,46146687414,764.563.656,1.306.616.103,708.969.674,0.00%,0.13554,0.21198,0.07301
BASF SE,2023-12-31,12852011317,684110086,18179739764,53040583203,34860843439,1.289.786.131,1.962.402.565,521.494.547,0.00%,0.16397,0.48737,0.10535
Deutsche Telekom AG,2023-12-31,12752580163,884167447,28470052842,53978751141,25508698298,1.637.991.669,3.466.140.986,1.116.091.951,0.00%,0.16508,2.45840,1.21369
Daimler AG,2023-12-31,5161220914,527374446,15838145692,51630867307,35792721615,1.021.432.476,1.473.412.533,442.496.267,0.00%,0.23608,0.35706,0.08906
SAP SE,2023-12-31,13414872686,1069408471,35679098743,80239095201,44559996459,1.332.777.331,2.399.929.435,800.697.971,299.73%,0.17136,0.25811,0.11462
Bayer AG,2023-12-31,15851738346,905684923,42371799830,52389418748,10017618918,1.728.755.433,9.040.920.106,422.972.766,213.75%,0.22874,0.98250,0.04338
Deutsche Bank AG,2023-12-31,12421650351,967097058,33786415736,79888234351,46101818615,1.210.562.563,2.097.741.665,73.286.514,0.00%,0.21509,0.28274,0.02548
Porsche AG,2023-12-31,16438581863,1419961878,19415830018,36726316966,17310486949,386.633.345,8.202.899.676,1.121.622.406,731.34%,0.06095,0.91166,0.18011
Merck KGaA,2023-12-31,17637490503,2103890014,44486109206,61628452463,17142343256,3.413.829.051,1.227.305.965,259.510.083,472.93%,0.41168,0.40103,0.05078
Volkswagen AG,2024-12-31,14186610709,2107123762,14632441063,32642980976,18010539913,6.455.059.247,1.169.939.253,812.437.669,1440.04%,10.89507,0.12446,0.18553
Siemens AG,2024-12-31,8451674463,530013313,43381572844,83248031989,39866459145,636.667.678,1.329.471.751,1.088.172.207,0.00%,0.09526,0.28172,0.63180
Allianz SE,2024-12-31,7203400075,631684018,23852825717,41830939577,17978113860,1.510.088.046,3.513.627.863,13.267.702,0.00%,1.71501,0.55952,0.00486
BMW AG,2024-12-31,6152045684,707968937,29243056689,57427208762,28184152074,1.232.810.982,2.511.939.811,1.037.570.923,0.00%,0.15191,0.26718,0.18164
BASF SE,2024-12-31,15113132584,1914494156,43259483243,88221659272,44962176029,2.170.095.385,4.258.010.455,962.130.552,442.56%,2.27499,40.72692,0.73687
Deutsche Telekom AG,2024-12-31,19139621006,2834016899,18313729720,41643539977,23329810257,6.805.417.841,1.214.762.087,784.992.656,1547.48%,1.62861,0.15930,0.07898
Daimler AG,2024-12-31,16456922307,1492220093,48085311015,79618978403,31533667388,1.874.201.507,4.732.148.895,1.524.888.001,310.33%,0.92999,3.17808,0.17162
SAP SE,2024-12-31,16754700510,923006607,49206362475,96053458782,46847096308,96.093.011,1.970.253.612,105.036.099,0.00%,0.10321,0.77678,0.29087
Bayer AG,2024-12-31,5728072323,604515777,34398569588,80121015584,45722445996,754.503.388,1.322.142.252,752.334.413,0.00%,0.14979,0.92934,0.22487
Deutsche Bank AG,2024-12-31,19852203756,2223753463,36451064643,76222443508,39771378864,2.917.452.342,5.591.341.126,916.514.983,610.07%,0.64487,1.63898,0.17787
Porsche AG,2024-12-31,13056746207,1500333956,33698449632,62560115073,28861665442,2.398.227.615,519.836.237,1.167.585.069,445.22%,1.05353,0.06206,0.19946
Merck KGaA,2024-12-31,18915504026,2413914962,30820597362,65357495789,34536898427,3.693.401.855,6.989.379.684,892.396.213,783.21%,0.91899,1.84074,0.22513
Volkswagen AG,2017-03-31,19695988685,1329397719,24520605687,58120450678,33599844991,2.287.314.883,3.956.559.082,729.783.298,542.16%,0.72630,0.70759,0.09307
Siemens AG,2017-03-31,19833452617,1519697640,16063730954,53272532961,37208802008,2.852.685.156,4.084.242.325,431.718.574,946.04%,0.41626,1.68534,0.05998
Allianz SE,2017-03-31,9164246774,981041953,19407851173,43999960378,24592109205,2.229.642.809,3.989.255.027,789.190.183,0.00%,0.34676,1.56415,0.41486
BMW AG,2017-03-31,18765462866,1081539894,34543581067,80126669599,45583088532,1.349.787.655,2.372.677.959,75.781.572,313.09%,0.17127,0.34987,0.00960
BASF SE,2017-03-31,16836243798,2100216671,19360624506,64506392372,45145767866,3.255.827.204,4.652.078.745,428.846.942,1084.79%,0.39349,5.90768,0.05053
Deutsche Telekom AG,2017-03-31,13951553720,1348710564,21828517855,62780698314,40952180459,2.148.288.567,3.293.379.129,533.024.557,617.87%,0.74437,0.86857,2.17046
Daimler AG,2017-03-31,7142318181,980884827,33400146455,69867319792,36467173338,1.403.925.083,2.689.774.769,915.896.227,0.00%,0.15166,0.34707,0.10209
SAP SE,2017-03-31,6568715630,719090971,18570025227,65782612977,47212587750,1.093.132.271,1.523.091.628,393.327.841,0.00%,0.82633,1.66216,0.11988
Bayer AG,2017-03-31,13027840283,1127343336,48157761467,85094142147,36936380680,1.324.818.968,3.052.121.825,1.303.802.933,234.09%,0.16167,2.50523,0.16228
Deutsche Bank AG,2017-03-31,14843015558,1680873545,14840428879,46770654578,31930225699,3.593.863.632,5.264.208.155,464.776.824,1132.63%,0.41603,2.52888,0.05973
Porsche AG,2017-03-31,5883512064,440184440,47041623953,76926443805,29884819852,572.214.726,1.472.936.567,1.574.097.625,0.00%,0.26639,0.15717,1.61229
Merck KGaA,2017-03-31,6974057939,389688114,31405828053,49969368014,18563539961,779.853.997,2.099.212.299,1.691.801.678,124.08%,0.09122,0.98870,0.21093
Volkswagen AG,2018-03-31,15989256775,1291419013,42659096630,53863933584,11204836955,2.397.557.934,1.152.554.935,3.807.203.693,302.73%,0.42962,0.20759,1.86899
Siemens AG,2018-03-31,10138254767,1262116952,45296373926,72972094010,27675720085,1.729.588.508,45.603.762,163.668.276,278.64%,0.29379,0.00745,0.02439
Allianz SE,2018-03-31,17610247426,2015329868,40259793264,68504291957,28244498693,294.190.307,7.135.300.541,1.425.403.003,500.58%,0.15449,2.37405,0.35360
BMW AG,2018-03-31,7335760537,743322628,48776154787,95122657900,46346503113,781.435.931,1.603.837.566,1.052.423.624,0.00%,0.17916,0.19139,0.24833
BASF SE,2018-03-31,16240083291,1330285061,20620789244,35863861269,15243072025,3.709.263.346,872.714.541,1.352.797.468,645.12%,1.40841,0.12204,0.16954
Deutsche Telekom AG,2018-03-31,17427808963,1967928248,36127253691,72733202053,36605948363,2.705.680.752,5.375.979.415,986.923.036,544.72%,0.39735,0.54880,0.10682
Daimler AG,2018-03-31,8641226117,983139977,36665610699,59016046453,22350435755,1.665.885.867,4.398.750.824,164.048.751,0.00%,0.18795,0.58576,0.33640
SAP SE,2018-03-31,19774628627,1421900578,42095348780,63447988091,21352639311,224.104.912,6.659.132.662,1.971.435.389,337.78%,0.21351,5.01952,0.45270
Bayer AG,2018-03-31,6560227745,884011217,46074070728,59231903754,13157833026,1.492.457.884,6.718.516.763,3.501.645.798,0.00%,0.32585,1.30002,0.54212
Deutsche Bank AG,2018-03-31,13740924616,1900766775,46035800087,57764409125,11728609038,3.290.550.018,1.620.624.209,3.925.086.081,412.89%,0.59816,0.25953,4.55966
Porsche AG,2018-03-31,17555661518,1335299860,46994742351,88007178782,41012436432,1.517.262.431,3.255.841.341,1.145.865.655,284.14%,0.57806,0.38688,0.13227
Merck KGaA,2018-03-31,9318197850,641817430,48172882387,65628926423,17456044036,977.949..,3.676.763.352,2.759.667.785,0.00%,#VALUE!,0.48156,0.41316
Volkswagen AG,2019-03-31,14907937768,1438598483,20854112480,54405171112,33551058632,2.644.231.152,4.287.788.646,621.563.472,689.84%,1.14384,0.54359,0.11021
Siemens AG,2019-03-31,11643264079,1453293868,35825693285,75665486452,39839793167,1.920.682.647,3.647.844.912,899.243.958,405.66%,0.28126,0.43164,0.36851
Allianz SE,2019-03-31,11744716344,1284599881,31388781794,60735397643,29346615849,2.115.076.103,4.377.335.663,1.069.587.783,409.25%,2.77913,1.30399,0.18187
BMW AG,2019-03-31,15132523755,1022601951,38023980809,86825852703,48801871894,1.177.762.059,2.095.415.424,779.150.048,268.94%,0.15445,0.50430,0.51917
BASF SE,2019-03-31,13827496449,1133835190,46117811894,82240340578,36122528684,1.378.684.939,3.138.858.853,127.670.497,245.86%,0.20119,0.36537,0.01894
Deutsche Telekom AG,2019-03-31,17933328881,1112803764,47538352610,96220600130,48682247520,1.156.513.016,2.285.851.252,976.502.833,234.09%,0.22533,0.26843,0.19410
Daimler AG,2019-03-31,11018589464,1097018126,21597719176,57241727973,35644008796,1.916.465.776,3.077.706.922,605.928.455,507.93%,0.41136,0.43527,0.06516
SAP SE,2019-03-31,18300753695,989934361,24181084351,42408075770,18226991420,2.334.306.245,5.431.145.154,1.326.663.507,0.00%,0.76213,3.74154,0.19985
Bayer AG,2019-03-31,15790567330,951709509,15068249757,54818573513,39750323756,1.736.107.761,2.394.218.258,379.072.378,631.60%,1.61097,1.09687,0.52364
Deutsche Bank AG,2019-03-31,11192425819,1563079220,10546244209,38688850201,28142605992,4.040.128.387,5.554.138.164,374.742.986,1482.12%,3.14674,4.01986,0.05034
Porsche AG,2019-03-31,12923331618,1676027156,26939537534,57056948432,30117410898,2.937.463.714,5.564.977.554,894.483.846,622.14%,0.63336,0.56918,0.18477
Merck KGaA,2019-03-31,19217681417,2238884002,12733925598,36970270841,24236345242,6.055.903.707,9.237.712.947,525.406.181,1758.20%,0.67002,1.29561,0.12925
Volkswagen AG,2020-03-31,15933280023,1743770422,44490184859,59864740520,15374555661,2.912.850.548,1.134.192.402,289.375.419,391.94%,0.34237,0.58939,0.07698
Siemens AG,2020-03-31,15947068708,835207323,19623471264,54178518349,34555047086,1.541.583.913,241.703.425,567.890.161,425.62%,0.26391,0.03426,0.06370
Allianz SE,2020-03-31,9263668849,635671167,12187372783,46576570031,34389197248,1.364.787.416,1.848.461.778,354.395.385,0.00%,0.17322,0.40019,0.08953
BMW AG,2020-03-31,12864732630,1045458883,40800355871,78928197945,38127842074,1.324.569.559,2.741.982.831,1.070.093.497,256.24%,0.23246,0.27889,1.14442
BASF SE,2020-03-31,9927936838,1197785480,37635556954,86394249061,48758692107,138.641.807,2.456.557.854,7.718.738,318.26%,0.02150,0.44026,0.00097
Deutsche Telekom AG,2020-03-31,17673360637,1501884164,32122639453,73938353262,41815713810,2.031.265.369,3.591.674.104,768.195.411,467.55%,0.76535,0.53271,0.39302
Daimler AG,2020-03-31,17781237366,1179606125,18447303156,42728183777,24280880621,2.760.721.427,4.858.168.628,759.746.051,639.45%,0.38258,2.88090,0.10174
SAP SE,2020-03-31,9236017256,529982877,48081211472,96574017987,48492806515,548.784.123,10.929.103,991.512.245,0.00%,0.06989,0.00108,0.19346
Bayer AG,2020-03-31,14107423353,1367599932,13615077246,27849556029,14234478784,4.910.670.497,9.607.657.241,956.485.829,1004.47%,0.73229,1.46172,0.19678
Deutsche Bank AG,2020-03-31,11812773682,980285159,44322011186,92083567435,47761556249,1.064.560.363,2.052.456.487,927.985.071,0.00%,0.18988,0.44952,0.09410
Porsche AG,2020-03-31,10779438774,1358943185,33525281805,71745524050,38220242245,189.411.563,3.555.558.796,877.160.369,405.35%,0.04592,0.63619,0.54686
Merck KGaA,2020-03-31,15236467952,894574066,36909348765,72030787429,35121438664,1.241.932.926,2.547.088.331,1.050.906.517,242.37%,0.13302,2.88347,0.11583
Volkswagen AG,2021-03-31,19710269369,1137314233,36066540496,64427162211,28360621715,1.765.271.344,4.010.187.943,1.271.711.913,315.34%,0.65047,2.13363,0.17853
Siemens AG,2021-03-31,18942636889,1771268697,15918566390,49830943520,33912377129,3.554.555.808,5.223.074.426,469.402.848,1112.71%,0.63943,7.01771,0.11642
Allianz SE,2021-03-31,8226780982,522858115,39148815906,54906293986,15757478080,952.273.549,3.318.158.603,2.484.459.487,0.00%,0.34802,2.09202,0.54060
BMW AG,2021-03-31,8417325544,742678238,36333752143,50307101979,13973349836,147.628.905,5.314.962.029,2.600.217.741,204.40%,0.02337,0.55237,1.19408
BASF SE,2021-03-31,6644620233,990744715,21424039042,52878014917,31453975875,1.873.642.035,314.982.347,681.123.402,0.00%,0.29173,0.03196,0.55185
Deutsche Telekom AG,2021-03-31,6356573780,831921707,22622163266,70081083207,47458919941,1.187.084.544,1.752.930.131,476.668.312,0.00%,1.40400,0.18836,0.07122
Daimler AG,2021-03-31,17838709007,1559286116,42906482998,53748741344,10842258346,2.901.065.359,1.438.156.209,3.957.338.188,363.42%,4.43856,0.92056,1.17006
SAP SE,2021-03-31,6588278496,731216298,11461577968,53638409260,42176831292,1.363.232.632,1.733.691.877,271.750.571,0.00%,0.58590,0.25048,0.03611
Bayer AG,2021-03-31,15481381698,1813221637,20090535950,39516175321,19425639371,4.588.555.503,933.416.709,1.034.227.784,902.53%,0.82592,0.22390,0.45394
Deutsche Bank AG,2021-03-31,8720665039,1028066418,14173153454,61397948008,47224794554,1.674.431.233,2.176.963.241,300.121.019,725.36%,0.38819,0.22590,0.24789
Porsche AG,2021-03-31,7884337935,1152213820,19342832660,61176556532,41833723872,1.883.423.791,2.754.270.272,462.374.153,595.68%,0.44432,1.01897,0.12348
Merck KGaA,2021-03-31,14786170161,1680074258,26820455279,61714717112,34894261833,2.722.323.518,4.814.757.986,768.620.795,626.42%,0.84138,0.63510,0.12371
Volkswagen AG,2022-03-31,17383281301,2467286454,26847350661,44033610784,17186260123,5.603.189.041,1.435.615.681,1.562.140.365,919.01%,2.96391,0.23308,1.11281
Siemens AG,2022-03-31,7786480387,484400550,33021752886,60040484961,27018732075,806.789.869,1.792.832.278,122.217.996,0.00%,0.10204,0.21531,0.05596
Allianz SE,2022-03-31,16640634818,2400803163,16356578486,32583061956,16226483469,7.368.255.218,1.479.558.505,100.801.745,1467.79%,2.88694,0.26481,0.01247
BMW AG,2022-03-31,11652663475,1123917078,30713910663,55316480279,24602569617,2.031.794.272,4.568.291.423,1.248.402.551,365.93%,0.25571,1.56748,0.31002
BASF SE,2022-03-31,7020216669,504888025,19566830326,62928514411,43361684085,802.319.949,1.164.364.427,451.247.011,0.00%,0.25066,0.31941,0.18258
Deutsche Telekom AG,2022-03-31,6523953565,440649540,18792941935,60677034815,41884092879,726.221.282,1.052.068.959,448.689.243,0.00%,0.32809,1.52554,0.06500
Daimler AG,2022-03-31,13358841713,1013271417,43437924866,86840936189,43403011323,1.166.813.097,2.334.564.784,1.000.804.404,233.27%,0.14340,0.41326,0.12432
SAP SE,2022-03-31,14896500404,1471513321,30918779103,51643572423,20724793320,2.849.363.924,7.100.255.712,1.491.873.942,475.93%,0.78286,2.77656,0.17061
Bayer AG,2022-03-31,9090799678,904181651,49055627276,76658563614,27602936339,1.179.492.034,3.275.671.979,1.777.188.726,0.00%,0.23962,0.48737,0.94158
Deutsche Bank AG,2022-03-31,15495522952,1232326295,38566723026,72355738353,33789015327,1.703.149.361,3.647.121.064,1.141.398.252,319.53%,1.14019,3.01246,0.28650
Porsche AG,2022-03-31,10774855240,975556879,15417730087,40879706571,25461976485,2.386.408.712,3.831.426.362,605.519.768,0.00%,0.58379,0.89853,0.11640
Merck KGaA,2022-03-31,7570645554,419794973,36325434183,64924945929,28599511746,646.585.017,1.467.839.648,127.014.176,0.00%,0.11042,0.17472,0.89588
Volkswagen AG,2023-03-31,13460197722,1122578628,37590881745,71858135493,34267253748,1.562.215.079,3.275.951.543,1.096.991.373,298.63%,0.72624,0.34418,0.11055
